Location_Dartmoor,Location_Moree,Location_WaggaWagga,Temp_diff,Humidity3pm,Location_Darwin,WindDir9am_ENE,RainTomorrow
False,False,False,5.199999999999999,9.0,False,False,0
False,False,False,-1.3999999999999986,89.0,True,False,1
False,False,False,0.40000000000000213,62.0,False,False,0
True,False,False,4.300000000000001,55.0,False,False,0
False,False,True,1.3000000000000007,37.0,False,False,1
False,False,False,2.299999999999997,73.0,False,False,1
False,False,False,8.8,21.0,False,True,0
False,False,False,3.4000000000000004,28.0,False,False,0
False,False,False,5.699999999999999,37.0,False,False,0
False,False,False,13.5,24.0,False,False,0
False,False,False,6.9,46.0,False,False,0
False,False,False,3.9999999999999982,61.0,False,False,1
True,False,False,0.8000000000000007,68.0,False,False,0
False,False,False,9.600000000000001,10.0,False,False,0
False,False,False,5.5,31.0,False,False,0
False,False,False,1.5,64.0,False,False,0
False,False,False,4.0,43.0,False,False,0
False,True,False,9.199999999999996,15.0,False,True,0
False,False,False,5.5,64.0,False,False,0
False,False,False,2.900000000000002,46.0,False,False,0
False,False,False,1.5,63.0,True,False,0
False,False,False,5.100000000000001,43.0,False,False,1
False,False,False,13.4,21.0,False,False,0
False,False,False,8.3,31.0,False,False,0
False,False,False,-2.3000000000000007,96.0,True,False,1
False,False,False,1.6999999999999993,87.0,False,False,1
False,False,False,-1.0,75.0,False,False,1
False,False,False,1.700000000000001,76.0,False,False,1
False,False,False,4.399999999999999,65.0,False,False,1
False,False,False,11.100000000000001,23.0,False,False,0
True,False,False,7.099999999999998,48.0,False,False,0
False,False,False,1.3999999999999986,56.0,False,False,0
False,False,False,7.399999999999999,32.0,False,False,0
False,False,False,-0.9000000000000021,71.0,False,False,0
False,False,False,5.399999999999999,57.0,False,False,0
False,False,False,4.5,43.0,False,False,0
False,False,False,8.399999999999999,36.0,False,False,0
False,False,False,1.200000000000001,51.0,False,False,0
False,False,False,0.0,86.0,False,False,1
True,False,False,2.200000000000001,79.0,False,False,0
False,False,False,3.0,82.0,False,False,1
False,False,False,2.1000000000000014,100.0,False,False,1
False,False,False,3.799999999999999,65.0,False,False,0
False,True,False,7.700000000000003,23.0,False,True,0
False,False,False,-0.10000000000000142,74.0,False,False,1
False,False,False,4.399999999999999,57.0,False,False,0
False,False,False,0.40000000000000213,48.0,False,False,0
False,False,False,2.1000000000000014,52.0,False,False,0
False,False,False,1.3000000000000007,50.0,False,False,0
False,False,False,7.400000000000002,35.0,False,False,1
False,False,False,-3.1999999999999993,97.0,False,True,1
False,False,False,0.5,93.0,False,False,0
False,False,False,5.799999999999999,51.0,False,False,0
False,False,False,5.099999999999998,41.0,False,False,0
False,True,False,1.5,79.0,False,False,1
False,False,False,2.400000000000002,64.0,False,False,1
False,False,False,11.2,22.0,False,True,0
False,False,False,2.700000000000003,37.0,False,False,0
False,False,True,7.600000000000001,21.0,False,False,1
False,False,False,6.5,59.0,False,True,0
False,False,False,8.700000000000003,19.0,False,True,0
False,False,False,0.9000000000000004,89.0,False,False,1
False,False,False,-3.5,73.0,False,False,0
False,False,False,4.399999999999999,64.0,False,False,0
False,False,False,8.8,11.0,False,False,0
False,False,False,8.400000000000002,12.0,False,True,0
True,False,False,8.2,44.0,False,True,0
False,False,False,-0.8000000000000007,74.0,False,False,1
False,False,False,3.400000000000002,51.0,False,False,0
True,False,False,11.4,83.0,False,False,1
False,False,False,13.100000000000001,16.0,False,False,0
False,False,False,1.5999999999999996,67.0,False,False,0
False,False,False,7.899999999999999,22.0,False,False,0
False,False,False,4.100000000000001,81.0,False,False,1
False,False,False,1.3999999999999986,70.0,False,False,0
False,False,False,6.599999999999998,24.0,False,False,0
True,False,False,5.900000000000002,67.0,False,False,0
False,False,False,8.599999999999998,47.0,False,False,0
False,False,False,4.1,59.0,False,False,0
False,False,False,4.200000000000003,70.0,False,False,1
False,False,False,4.699999999999999,37.0,False,False,0
True,False,False,3.200000000000001,54.0,False,False,0
False,False,False,2.1999999999999993,38.0,False,False,0
False,False,False,-7.600000000000001,84.0,False,False,1
False,False,False,1.6999999999999993,32.0,False,False,0
False,False,False,7.299999999999997,26.0,False,False,0
False,False,False,8.899999999999999,19.0,False,True,0
False,False,False,5.0,31.0,True,True,0
True,False,False,8.7,36.0,False,False,0
False,False,False,4.1,58.0,False,False,0
False,False,False,1.8000000000000007,76.0,False,False,0
False,False,False,5.0,64.0,False,False,0
False,False,False,6.0,44.0,False,False,0
False,False,False,9.5,38.0,False,False,0
False,False,False,7.199999999999999,18.0,False,False,0
True,False,False,-3.1999999999999993,70.0,False,False,1
False,True,False,3.799999999999999,63.0,False,False,1
False,False,False,9.700000000000003,15.0,False,False,1
False,False,False,1.5999999999999996,63.0,False,False,0
False,False,False,2.3999999999999986,62.0,False,False,0
False,False,False,7.1,49.0,False,False,0
False,False,False,0.1999999999999993,97.0,False,False,0
False,False,False,2.3000000000000007,62.0,False,False,0
False,False,False,0.5999999999999996,88.0,False,False,0
False,False,False,8.7,61.0,False,False,0
False,False,False,0.8999999999999986,52.0,False,False,0
False,False,False,6.200000000000001,33.0,False,False,0
False,False,False,8.7,43.0,True,False,0
False,False,False,3.099999999999998,61.0,False,False,0
False,False,True,10.899999999999999,39.0,False,False,0
False,False,False,3.5,81.0,False,False,1
False,False,False,-4.5,85.0,False,False,0
False,False,False,0.8000000000000007,62.0,False,False,1
False,False,False,9.2,42.0,False,False,0
False,False,False,4.800000000000001,42.0,False,False,0
False,False,False,13.100000000000001,9.0,False,False,0
False,False,False,1.8000000000000007,70.0,False,False,0
False,False,False,10.3,25.0,False,True,0
False,False,False,0.8000000000000007,90.0,False,False,1
False,False,False,5.200000000000003,13.0,False,False,0
False,False,False,8.099999999999998,23.0,False,False,0
False,False,False,-0.10000000000000142,74.0,False,False,1
